word,wordtype,origin,meaning_number,meaning
ಅತ್ಯಾಚಾರ,noun,ಸಂ ,1,ಕೆಟ್ಟ ನಡತೆ
ಅದಗುಂತಿ,noun,ದೇ ,1,ಅತಿಶಯ
ಅದಿರು,noun,ದೇ ,1,"ನಡುಕ, ಕಂಪನ"
ಅದಿರ್ಪು,noun,ದೇ ,1,ಕಂಪನ
ಅದೃಷ್ಟ,noun,ಸಂ ,1,"ವಿಧಿ, ಹಣೆಬರಹ, ಜನ್ಮಾಂತರದ ಒಳ್ಳೆಯ ಯಾ ಕೆಟ್ಟ ಕರ್ಮಫಲ"
ಅದ್ದರ,noun,ದೇ ,1,ಗದ್ದಲ
ಅದ್ದಳ,noun,ದೇ ,1,ಅಬ್ಬರ
ಅದ್ಭುತ,noun,ಸಂ ,1,"ಅತ್ಯಾಶ್ಚರ್ಯಕರವಾದ ವಸ್ತು, ವ್ಯಕ್ತಿ ಯಾ ಸಂಗತಿ"
ಅದ್ರಿ,noun,ಸಂ ,1,"ಬೆಟ್ಟ, ಪರ್ವತ"
ಅದ್ವೈತ,noun,ಸಂ ,1,"ಬ್ರಹ್ಮ ಮತ್ತು ಜೀವ ಎರಡೂ ಬೇರೆಬೇರೆಯಲ್ಲ, ಒಂದೇ ಎಂದು ಪ್ರತಿಪಾದಿಸುವ ತತ್ವ"
ಅಧಃಪತನ,noun,ಸಂ ,1,ಕೆಳಕ್ಕೆ ಬೀಳುವುದು
ಅಧಮ,noun,ಸಂ ,1,ಕೀಳು
ಅಧರ,noun,ಸಂ ,1,ಕೆಳತುಟಿ
ಅಧಿಕ,noun,ಸಂ ,1,ಶ್ರೇಷ್ಠವಾದುದು
ಅಧಿಕರಣ,noun,ಸಂ ,1,"ಅಧಿಕಾರ, ಪ್ರಭುತ್ವ"
ಅಧಿಕವರ್ಷ,noun,ಒಂದು ದಿನ ಹೆಚ್ಚಾಗಿ ಬರುವ ವರ್ಷ; ,3,ದಿನಗಳು ಬರುವ ವರ್ಷ
ಅಧಿಕಾರ,noun,ಸಂ ,1,"ಯಾವುದಾದರೊಂದು ಕಾರ್ಯವನ್ನು ನಡೆಸುವ, ವಿಧಿಸುವ ಯಾ ನಿರ್ಣಯಿಸುವ ಶಕ್ತಿ"
ಅಧಿದೇವತೆ,noun,ಸಂ ,1,ಅಭಿಮಾನಿ ದೇವತೆ
ಅಧಿವಾಸ,noun,ಸಂ ,1,"ವಾಸಸ್ಥಳ, ಹುಟ್ಟಿದ ಸ್ಥಳ"
ಅಧಿಷ್ಠಾನ,noun,ಸಂ ,1,ಆಧಾರ
ಅಧೋಕ್ಷಜ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅಧೋಗತಿ,noun,ಸಂ ,1,ಕೆಳಕ್ಕಿಳಿಯುವುದು
ಅಧೋಮುಖ,noun,ಸಂ ,1,ಕೆಳಮುಖ
ಅಧ್ಯಕ್ಷ,noun,ಸಂ ,1,ಸಭಾಪತಿ
ಅಧ್ಯಯನ,noun,ಸಂ ,1,"ವೇದವನ್ನು ಓದುವುದು, ಕಲಿಯುವುದು"
ಅಧ್ಯವಸಾನ,noun,ಸಂ ,1,ಪ್ರಯತ್ನ
ಅಧ್ಯವಸಾಯ,noun,ಸಂ ,1,ಮನೋನಿಶ್ಚಯ
ಅಧ್ಯಾತ್ಮ,noun,ಸಂ ,1,"ಆತ್ಮನಿಗೆ ಸಂಬಂಧಿ ಸಿದ್ದು, ಬ್ರಹ್ಮನನ್ನು ಕುರಿತದ್ದು"
ಅಧ್ಯಾಪಕ,noun,ಸಂ ,1,"ಉಪಾಧ್ಯಾಯ, ಶಿಕ್ಷಕ"
ಅಧ್ಯಾಪನ,noun,ಸಂ ,1,ವೇದವನ್ನು ಕಲಿಸುವುದು
ಅಧ್ಯಾಯ,noun,ಸಂ ,1,ಗ್ರಂಥದ ಒಂದು ಭಾಗ
ಅಧ್ಯಾರೋಪ,noun,ಸಂ ,1,ಒಂದು ವಸ್ತುವಿನ ಗುಣವನ್ನು ಮತ್ತೊಂದಕ್ಕೆ ಆರೋಪಿಸುವುದು
ಅಧ್ಯಾಹಾರ,noun,ಸಂ ,1,"ತರ್ಕ, ಊಹೆ"
ಅಧ್ವ,noun,ಸಂ ,1,ದಾರಿ
ಅಧ್ವರ್ಯು,noun,ಸಂ ,1,"ಕೆಲವು ವಿಶೇಷ ಕರ್ಮಗಳನ್ನು ಮಾಡುವ ಪುರೋಹಿತ, ಋತ್ವಿಕ್ಕು"
ಅಧ್ವಾನ,noun,ಸಂ ,1,ದಾರಿ
ಅನಂಗ,noun,ಸಂ ,1,ಮನ್ಮಥ
ಅನಂತ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅನಕ್ಷರ,noun,ಸಂ ,1,"ಅವಾಚ್ಯ, ಅಸಂಬದ್ಧವಾದ ನುಡಿ"
ಅನಯ,noun,ಸಂ ,1,ಕೆಟ್ಟ ನಡವಳಿಕೆ
ಅನರ್ಥ,noun,ಸಂ ,1,ಕೇಡು
ಅನಲ,noun,ಸಂ ,1,ಬೆಂಕಿ
ಅನಸೂಯೆ,noun,<ಸಂ. ಅನಸೂಯಾ ,1,ಅಸೂಯೆಯಿಲ್ಲದಿರುವುದು
ಅನಾಗತ,noun,ಸಂ ,1,ಭವಿಷ್ಯ
ಅನಾದಿ,noun,ಸಂ ,1,ಪುರಾತನಕಾಲದಿಂದಿರುವುದು
ಅನಾಮಿಕ,noun,ಸಂ ,1,"ಕಿರುಬೆರಳ ಪಕ್ಕದ ಕೈ ಬೆರಳು, ಉಂಗುರದ ಬೆರಳು"
ಅನಾಹತ,noun,ಸಂ ,1,"ಒಗೆಯದ ಅರಿವೆ, ನೂತನ ವಸ್ತ್ರ"
ಅನಾಹುತ,noun,<ಸಂ. ಅನಾಹೂತ ,1,ಆಕಸ್ಮಿಕ ಕೇಡು
ಅನಿಮಿಷ,noun,ಸಂ ,1,ಮೀನು
ಅನಿರ್ವಚನೀಯ,noun,ಸಂ ,1,ದೇವರು
ಅನಿಲ,noun,ಸಂ ,1,"ಗಾಳಿ, ವಾಯು"
ಅನಿವಾರ್ಯ,noun,ಸಂ ,1,ಆವಶ್ಯಕ
ಅನಿಷ್ಟ,noun,ಸಂ ,1,ಅಪ್ರಿಯವಾದುದು
ಅನೀಕ,noun,ಸಂ ,1,ಗುಂಪು
ಅನುಕರಣ,noun,ಸಂ ,1,"ಇತರರು ಮಾಡಿದಂತೆ ಮಾಡುವುದು, ನಟನೆ, ಅಭಿನಯ"
ಅನುಕರ್ಷ,noun,ಸಂ ,1,ಆಕರ್ಷಣೆ
ಅನುಕೂಲ,noun,ಸಂ ,1,ಸೌಕರ್ಯ
ಅನುಕೃತಿ,noun,ಸಂ ,1,ಅನುಕರಣ
ಅನುಗತ,noun,ಸಂ ,1,ಜೊತೆಯಲ್ಲಿ ಬರುವವನು
ಅನುಗಮನ,noun,ಸಂ ,1,ಅನುಸರಿಸಿ ನಡೆಯುವುದು
ಅನುಗ್ರಹ,noun,ಸಂ ,1,"ಕೃಪೆ, ದಯೆ"
ಅನುಜ್ಞೆ,noun,ಸಂ ,1,ಒಪ್ಪಿಗೆ
ಅನುತಾಪ,noun,ಸಂ ,1,ಪಶ್ಚಾತ್ತಾಪ
ಅನುನಯ,noun,ಸಂ ,1,ನಯವಾದ ಮಾತುಗಳಿಂದ ಮನವೊಲಿಸುವುದು
ಅನುಪಾನ,noun,ಸಂ ,1,"ಔಷಧದ ಜೊತೆಗೆ ಸೇವಿಸುವ ಪಾನೀಯ ಯಾ ಕಲಸಿಕೊಳ್ಳುವ ತುಪ್ಪ, ಜೇನು ತುಪ್ಪ ಮುಂ.ವು"
ಅನುಬಂಧ,noun,ಸಂ ,1,ಸಂಬಂಧ
ಅನುಭವ,noun,ಸಂ ,1,ಇಂದ್ರಿಯಗಳ ಮೂಲಕ ಬರುವ ಜ್ಞಾನ
